id,name,gene_name,description,go_classification,general_function,specific_function,pathway,reaction,cellular_location,signals,transmembrane_regions,molecular_weight,theoretical_pi,locus,chromosome,uniprot_name,uniprot_id,pdb_id,genbank_protein_id,genbank_gene_id,genecard_id,genatlas_id,hgnc_id,hprd_id,organism,general_citations,comments,creator_id,updater_id,created_at,updated_at
23,"Cytochrome P450, family 1, subfamily A, polypeptide 1",CYP1A1,,,,,,,,,,,,,,,A0N0X8,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
24,Cytochrome P450 2D6,CYP2D6,,,,,,,,,,,,,,,Q6NWU0,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
25,Sedoheptulokinase,SHPK,,,,,,,,,,,,,,,Q9UHJ6,,,,,,,,,,,,,2015-02-23 22:41:13 UTC,2015-02-23 22:41:13 UTC
26,Multiple inositol polyphosphate phosphatase 1,MINPP1,,,,,,,,,,,,,,,Q9UNW1,,,,,,,,,,,,,2015-02-23 22:41:13 UTC,2015-02-23 22:41:13 UTC
27,Inositol-pentakisphosphate 2-kinase,IPPK,,,,,,,,,,,,,,,Q9H8X2,,,,,,,,,,,,,2015-02-23 22:41:13 UTC,2015-02-23 22:41:13 UTC
28,Inositol hexakisphosphate kinase 3,IHPK3,,,,,,,,,,,,,,,Q5TAQ4,,,,,,,,,,,,,2015-02-23 22:41:13 UTC,2015-02-23 22:41:13 UTC
29,Putative uncharacterized protein IP6K1,IP6K1,,,,,,,,,,,,,,,Q92551,,,,,,,,,,,,,2015-02-23 22:41:13 UTC,2015-02-23 22:41:13 UTC
30,Aromatic-L-amino-acid decarboxylase,DDC,,,,,,,,,,,,,,,P20711,,,,,,,,,,,,,2015-02-23 22:42:20 UTC,2015-02-23 22:42:20 UTC
31,Alpha-2A adrenergic receptor,ADRA2A,,,,,,,,,,,,,,,P08913,,,,,,,,,,,,,2015-02-23 22:42:20 UTC,2015-02-23 22:42:20 UTC
32,Alpha-2B adrenergic receptor,ADRA2B,,,,,,,,,,,,,,,P18089,,,,,,,,,,,,,2015-02-23 22:42:20 UTC,2015-02-23 22:42:20 UTC
33,Tyrosine 3-monooxygenase,TH,,,,,,,,,,,,,,,P07101,,,,,,,,,,,,,2015-02-23 22:42:37 UTC,2015-02-23 22:42:37 UTC
34,Tyrosine aminotransferase,TAT,,,,,,,,,,,,,,,P17735,,,,,,,,,,,,,2015-02-23 22:42:37 UTC,2015-02-23 22:42:37 UTC
35,Phenylalanine-4-hydroxylase,PAH,,,,,,,,,,,,,,,P00439,,,,,,,,,,,,,2015-02-23 22:42:38 UTC,2015-02-23 22:42:38 UTC
36,"Aspartate aminotransferase, cytoplasmic",GOT1,,,,,,,,,,,,,,,P17174,,,,,,,,,,,,,2015-02-23 22:42:38 UTC,2015-02-23 22:42:38 UTC
37,"Aspartate aminotransferase, mitochondrial",GOT2,,,,,,,,,,,,,,,P00505,,,,,,,,,,,,,2015-02-23 22:42:38 UTC,2015-02-23 22:42:38 UTC
38,"Tyrosine--tRNA ligase, cytoplasmic",YARS,,,,,,,,,,,,,,,P54577,,,,,,,,,,,,,2015-02-23 22:42:38 UTC,2015-02-23 22:42:38 UTC
39,"Tyrosine--tRNA ligase, mitochondrial",YARS2,,,,,,,,,,,,,,,Q9Y2Z4,,,,,,,,,,,,,2015-02-23 22:42:38 UTC,2015-02-23 22:42:38 UTC
40,Basic fibroblast growth factor receptor 1,FGFR1,,,,,,,,,,,,,,,P11362,,,,,,,,,,,,,2015-02-23 22:42:38 UTC,2015-02-23 22:42:38 UTC
41,Epidermal growth factor receptor,EGFR,,,,,,,,,,,,,,,P00533,,,,,,,,,,,,,2015-02-23 22:42:38 UTC,2015-02-23 22:42:38 UTC
42,Adenosine deaminase,ADA,,,,,,,,,,,,,,,P00813,,,,,,,,,,,,,2015-02-23 22:42:48 UTC,2015-02-23 22:42:48 UTC
43,Adenosine receptor A1,ADORA1,,,,,,,,,,,,,,,P30542,,,,,,,,,,,,,2015-02-23 22:42:48 UTC,2015-02-23 22:42:48 UTC
44,Adenosine receptor A2a,ADORA2A,,,,,,,,,,,,,,,P29274,,,,,,,,,,,,,2015-02-23 22:42:48 UTC,2015-02-23 22:42:48 UTC
45,Adenosine receptor A2b,ADORA2B,,,,,,,,,,,,,,,P29275,,,,,,,,,,,,,2015-02-23 22:42:48 UTC,2015-02-23 22:42:48 UTC
46,Aminoadipate-semialdehyde synthase,AASS,,,,,,,,,,,,,,,A4D0W4,,,,,,,,,,,,,2015-02-23 22:42:58 UTC,2015-02-23 22:42:58 UTC
47,"Propionyl-CoA carboxylase beta chain, mitochondrial",PCCB,,,,,,,,,,,,,,,P05166,,,,,,,,,,,,,2015-02-23 22:43:04 UTC,2015-02-23 22:43:04 UTC
48,"Branched-chain-amino-acid aminotransferase, cytosolic",BCAT1,,,,,,,,,,,,,,,P54687,,,,,,,,,,,,,2015-02-23 22:43:04 UTC,2015-02-23 22:43:04 UTC
49,"Branched-chain-amino-acid aminotransferase, mitochondrial",BCAT2,,,,,,,,,,,,,,,O15382,,,,,,,,,,,,,2015-02-23 22:43:04 UTC,2015-02-23 22:43:04 UTC
50,Valine--tRNA ligase,VARS,,,,,,,,,,,,,,,P26640,,,,,,,,,,,,,2015-02-23 22:43:04 UTC,2015-02-23 22:43:04 UTC
51,"Valine--tRNA ligase, mitochondrial",VARS2,,,,,,,,,,,,,,,Q5ST30,,,,,,,,,,,,,2015-02-23 22:43:04 UTC,2015-02-23 22:43:04 UTC
52,Biotinidase,BTD,,,,,,,,,,,,,,,P43251,,,,,,,,,,,,,2015-02-23 22:43:16 UTC,2015-02-23 22:43:16 UTC
53,Lysine--tRNA ligase,KARS,,,,,,,,,,,,,,,Q15046,,,,,,,,,,,,,2015-02-23 22:43:16 UTC,2015-02-23 22:43:16 UTC
54,Lysine-specific demethylase 2A,KDM2A,,,,,,,,,,,,,,,Q9Y2K7,,,,,,,,,,,,,2015-02-23 22:43:16 UTC,2015-02-23 22:43:16 UTC
55,Lysine-specific demethylase 2B,KDM2B,,,,,,,,,,,,,,,Q8NHM5,,,,,,,,,,,,,2015-02-23 22:43:17 UTC,2015-02-23 22:43:17 UTC
56,Glycine N-acyltransferase,GLYAT,,,,,,,,,,,,,,,Q6IB77,,,,,,,,,,,,,2015-02-23 22:43:19 UTC,2015-02-23 22:43:19 UTC
57,Glycine N-acyltransferase-like protein 1,GLYATL1,,,,,,,,,,,,,,,Q969I3,,,,,,,,,,,,,2015-02-23 22:43:19 UTC,2015-02-23 22:43:19 UTC
58,Glycine N-acyltransferase-like protein 2,GLYATL2,,,,,,,,,,,,,,,Q8WU03,,,,,,,,,,,,,2015-02-23 22:43:19 UTC,2015-02-23 22:43:19 UTC
59,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",GCAT,,,,,,,,,,,,,,,O75600,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
60,Trifunctional purine biosynthetic protein adenosine-3,GART,,,,,,,,,,,,,,,P22102,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
61,"Alanine--glyoxylate aminotransferase 2, mitochondrial",AGXT2,,,,,,,,,,,,,,,Q9BYV1,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
62,"Glycine amidinotransferase, mitochondrial",GATM,,,,,,,,,,,,,,,P50440,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
63,Bile acid-CoA:amino acid N-acyltransferase,BAAT,,,,,,,,,,,,,,,Q14032,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
64,Glycine--tRNA ligase,GARS,,,,,,,,,,,,,,,P41250,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
65,"Aminomethyltransferase, mitochondrial",AMT,,,,,,,,,,,,,,,P48728,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
66,Glutathione synthetase,GSS,,,,,,,,,,,,,,,P48637,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
67,"Serine hydroxymethyltransferase, mitochondrial",SHMT2,,,,,,,,,,,,,,,P34897,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
68,"Serine hydroxymethyltransferase, cytosolic",SHMT1,,,,,,,,,,,,,,,P34896,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
69,"Glycine dehydrogenase [decarboxylating], mitochondrial",GLDC,,,,,,,,,,,,,,,P23378,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
70,"Glycine cleavage system H protein, mitochondrial",GCSH,,,,,,,,,,,,,,,P23434,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
71,Vesicular inhibitory amino acid transporter,SLC32A1,,,,,,,,,,,,,,,Q9H598,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
72,Kynurenine--oxoglutarate transaminase 3,CCBL2,,,,,,,,,,,,,,,Q6YP21,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
73,Serine hydroxymethyltransferase,DKFZp686P09201,,,,,,,,,,,,,,,Q5HYG8,,,,,,,,,,,,,2015-02-23 22:43:31 UTC,2015-02-23 22:43:31 UTC
74,"Ornithine aminotransferase, mitochondrial",OAT,,,,,,,,,,,,,,,P04181,,,,,,,,,,,,,2015-02-23 22:44:04 UTC,2015-02-23 22:44:04 UTC
75,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",DDAH2,,,,,,,,,,,,,,,O95865,,,,,,,,,,,,,2015-02-23 22:44:13 UTC,2015-02-23 22:44:13 UTC
76,Histidine decarboxylase,HDC,,,,,,,,,,,,,,,P19113,,,,,,,,,,,,,2015-02-23 22:44:19 UTC,2015-02-23 22:44:19 UTC
77,Vimentin,VIM,,,,,,,,,,,,,,,P08670,,,,,,,,,,,,,2015-02-23 22:44:19 UTC,2015-02-23 22:44:19 UTC
78,Heat shock 70 kDa protein 1A/1B,HSPA1A,,,,,,,,,,,,,,,P08107,,,,,,,,,,,,,2015-02-23 22:44:19 UTC,2015-02-23 22:44:19 UTC
79,"4-aminobutyrate aminotransferase, mitochondrial",ABAT,,,,,,,,,,,,,,,P80404,,,,,,,,,,,,,2015-02-23 22:45:10 UTC,2015-02-23 22:45:10 UTC
80,"Alanine--tRNA ligase, cytoplasmic",AARS,,,,,,,,,,,,,,,P49588,,,,,,,,,,,,,2015-02-23 22:45:10 UTC,2015-02-23 22:45:10 UTC
81,Alanine aminotransferase 1,GPT,,,,,,,,,,,,,,,P24298,,,,,,,,,,,,,2015-02-23 22:45:10 UTC,2015-02-23 22:45:10 UTC
82,Peptidoglycan recognition protein 1,PGLYRP1,,,,,,,,,,,,,,,O75594,,,,,,,,,,,,,2015-02-23 22:45:10 UTC,2015-02-23 22:45:10 UTC
83,Alanine aminotransferase 2,GPT2,,,,,,,,,,,,,,,Q8TD30,,,,,,,,,,,,,2015-02-23 22:45:10 UTC,2015-02-23 22:45:10 UTC
84,Selenocysteine lyase,SCLY,,,,,,,,,,,,,,,Q96I15,,,,,,,,,,,,,2015-02-23 22:45:10 UTC,2015-02-23 22:45:10 UTC
85,5-phosphohydroxy-L-lysine phospho-lyase,AGXT2L2,,,,,,,,,,,,,,,Q8IUZ5,,,,,,,,,,,,,2015-02-23 22:45:10 UTC,2015-02-23 22:45:10 UTC
86,Molybdenum cofactor sulfurase,MOCOS,,,,,,,,,,,,,,,Q96EN8,,,,,,,,,,,,,2015-02-23 22:45:10 UTC,2015-02-23 22:45:10 UTC
87,Peptidoglycan recognition protein 3,PGLYRP3,,,,,,,,,,,,,,,Q96LB9,,,,,,,,,,,,,2015-02-23 22:45:10 UTC,2015-02-23 22:45:10 UTC
88,Peptidoglycan recognition protein 4,PGLYRP4,,,,,,,,,,,,,,,Q96LB8,,,,,,,,,,,,,2015-02-23 22:45:10 UTC,2015-02-23 22:45:10 UTC
89,"Alanine--tRNA ligase, mitochondrial",AARS2,,,,,,,,,,,,,,,Q5JTZ9,,,,,,,,,,,,,2015-02-23 22:45:10 UTC,2015-02-23 22:45:10 UTC
90,Glutamate--cysteine ligase catalytic subunit,GCLC,,,,,,,,,,,,,,,P48506,,,,,,,,,,,,,2015-02-23 22:45:18 UTC,2015-02-23 22:45:18 UTC
91,Glutathione S-transferase Mu 3,GSTM3,,,,,,,,,,,,,,,P21266,,,,,,,,,,,,,2015-02-23 22:45:18 UTC,2015-02-23 22:45:18 UTC
92,Glutathione S-transferase omega-1,GSTO1,,,,,,,,,,,,,,,P78417,,,,,,,,,,,,,2015-02-23 22:45:18 UTC,2015-02-23 22:45:18 UTC
93,Glutathione S-transferase A2,GSTA2,,,,,,,,,,,,,,,P09210,,,,,,,,,,,,,2015-02-23 22:45:19 UTC,2015-02-23 22:45:19 UTC
94,Glutathione S-transferase P,GSTP1,,,,,,,,,,,,,,,P09211,,,,,,,,,,,,,2015-02-23 22:45:19 UTC,2015-02-23 22:45:19 UTC
95,Serine palmitoyltransferase 1,SPTLC1,,,,,,,,,,,,,,,O15269,,,,,,,,,,,,,2015-02-23 22:45:19 UTC,2015-02-23 22:45:19 UTC
96,Alpha-tocopherol transfer protein,TTPA,,,,,,,,,,,,,,,P49638,,,,,,,,,,,,,2015-02-23 22:45:19 UTC,2015-02-23 22:45:19 UTC
97,D(2) dopamine receptor,DRD2,,,,,,,,,,,,,,,P14416,,,,,,,,,,,,,2015-02-23 22:45:23 UTC,2015-02-23 22:45:23 UTC
98,D(4) dopamine receptor,DRD4,,,,,,,,,,,,,,,P21917,,,,,,,,,,,,,2015-02-23 22:45:23 UTC,2015-02-23 22:45:23 UTC
99,Prolyl 4-hydroxylase subunit alpha-2,P4HA2,,,,,,,,,,,,,,,O15460,,,,,,,,,,,,,2015-02-23 22:45:30 UTC,2015-02-23 22:45:30 UTC
100,Prolyl 4-hydroxylase subunit alpha-1,P4HA1,,,,,,,,,,,,,,,P13674,,,,,,,,,,,,,2015-02-23 22:45:30 UTC,2015-02-23 22:45:30 UTC
101,Bifunctional glutamate/proline--tRNA ligase,EPRS,,,,,,,,,,,,,,,P07814,,,,,,,,,,,,,2015-02-23 22:45:30 UTC,2015-02-23 22:45:30 UTC
102,Proline synthase co-transcribed bacterial homolog protein,PROSC,,,,,,,,,,,,,,,O94903,,,,,,,,,,,,,2015-02-23 22:45:30 UTC,2015-02-23 22:45:30 UTC
103,Pyrroline-5-carboxylate reductase,P5CR2,,,,,,,,,,,,,,,Q4W8W1,,,,,,,,,,,,,2015-02-23 22:45:30 UTC,2015-02-23 22:45:30 UTC
104,Prolyl 4-hydroxylase subunit alpha-3,P4HA3,,,,,,,,,,,,,,,Q7Z4N8,,,,,,,,,,,,,2015-02-23 22:45:31 UTC,2015-02-23 22:45:31 UTC
105,Egl nine homolog 1,EGLN1,,,,,,,,,,,,,,,Q9GZT9,,,,,,,,,,,,,2015-02-23 22:45:31 UTC,2015-02-23 22:45:31 UTC
106,Egl nine homolog 2,EGLN2,,,,,,,,,,,,,,,Q96KS0,,,,,,,,,,,,,2015-02-23 22:45:31 UTC,2015-02-23 22:45:31 UTC
107,Egl nine homolog 3,EGLN3,,,,,,,,,,,,,,,Q9H6Z9,,,,,,,,,,,,,2015-02-23 22:45:31 UTC,2015-02-23 22:45:31 UTC
108,Transmembrane prolyl 4-hydroxylase,P4HTM,,,,,,,,,,,,,,,Q9NXG6,,,,,,,,,,,,,2015-02-23 22:45:31 UTC,2015-02-23 22:45:31 UTC
109,Trans-L-3-hydroxyproline dehydratase,L3HYPDH,,,,,,,,,,,,,,,Q96EM0,,,,,,,,,,,,,2015-02-23 22:45:31 UTC,2015-02-23 22:45:31 UTC
110,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PPIF,,,,,,,,,,,,,,,P30405,,,,,,,,,,,,,2015-02-23 22:45:31 UTC,2015-02-23 22:45:31 UTC
111,Peptidyl-prolyl cis-trans isomerase A,PPIA,,,,,,,,,,,,,,,P62937,,,,,,,,,,,,,2015-02-23 22:45:31 UTC,2015-02-23 22:45:31 UTC
112,Peptidyl-prolyl cis-trans isomerase B,PPIB,,,,,,,,,,,,,,,P23284,,,,,,,,,,,,,2015-02-23 22:45:31 UTC,2015-02-23 22:45:31 UTC
113,Peptidyl-prolyl cis-trans isomerase G,PPIG,,,,,,,,,,,,,,,Q13427,,,,,,,,,,,,,2015-02-23 22:45:31 UTC,2015-02-23 22:45:31 UTC
114,"Probable proline--tRNA ligase, mitochondrial",PARS2,,,,,,,,,,,,,,,Q7L3T8,,,,,,,,,,,,,2015-02-23 22:45:31 UTC,2015-02-23 22:45:31 UTC
115,Peptidyl-prolyl cis-trans isomerase H,PPIH,,,,,,,,,,,,,,,O43447,,,,,,,,,,,,,2015-02-23 22:45:31 UTC,2015-02-23 22:45:31 UTC
116,Carnitine O-acetyltransferase,CRAT,,,,,,,,,,,,,,,P43155,,,,,,,,,,,,,2015-02-23 22:45:34 UTC,2015-02-23 22:45:34 UTC
117,Peroxisomal carnitine O-octanoyltransferase,CROT,,,,,,,,,,,,,,,Q9UKG9,,,,,,,,,,,,,2015-02-23 22:45:34 UTC,2015-02-23 22:45:34 UTC
118,"Carnitine O-palmitoyltransferase 1, muscle isoform",CPT1B,,,,,,,,,,,,,,,Q92523,,,,,,,,,,,,,2015-02-23 22:45:34 UTC,2015-02-23 22:45:34 UTC
119,"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,,,,,,,,,,,,,,,P50416,,,,,,,,,,,,,2015-02-23 22:45:35 UTC,2015-02-23 22:45:35 UTC
120,"Carnitine O-palmitoyltransferase 2, mitochondrial",CPT2,,,,,,,,,,,,,,,P23786,,,,,,,,,,,,,2015-02-23 22:45:35 UTC,2015-02-23 22:45:35 UTC
121,"Carnitine O-palmitoyltransferase 1, brain isoform",CPT1C,,,,,,,,,,,,,,,Q8TCG5,,,,,,,,,,,,,2015-02-23 22:45:35 UTC,2015-02-23 22:45:35 UTC
122,Liver carboxylesterase 1,CES1,,,,,,,,,,,,,,,P23141,,,,,,,,,,,,,2015-02-23 22:45:35 UTC,2015-02-23 22:45:35 UTC
123,Mitochondrial carnitine/acylcarnitine carrier protein,SLC25A20,,,,,,,,,,,,,,,O43772,,,,,,,,,,,,,2015-02-23 22:45:35 UTC,2015-02-23 22:45:35 UTC
124,Phosphoserine aminotransferase,PSAT1,,,,,,,,,,,,,,,Q9Y617,,,,,,,,,,,,,2015-02-23 22:45:38 UTC,2015-02-23 22:45:38 UTC
125,Alpha-galactosidase A,GLA,,,,,,,,,,,,,,,P06280,,,,,,,,,,,,,2015-02-23 22:47:16 UTC,2015-02-23 22:47:16 UTC
126,Pancreatic triacylglycerol lipase,PNLIP,,,,,,,,,,,,,,,P16233,,,,,,,,,,,,,2015-02-23 22:48:16 UTC,2015-02-23 22:48:16 UTC
127,Hepatic triacylglycerol lipase,LIPC,,,,,,,,,,,,,,,P11150,,,,,,,,,,,,,2015-02-23 22:48:16 UTC,2015-02-23 22:48:16 UTC
128,Lysosomal acid lipase/cholesteryl ester hydrolase,LIPA,,,,,,,,,,,,,,,P38571,,,,,,,,,,,,,2015-02-23 22:48:16 UTC,2015-02-23 22:48:16 UTC
129,Inactive pancreatic lipase-related protein 1,PNLIPRP1,,,,,,,,,,,,,,,P54315,,,,,,,,,,,,,2015-02-23 22:48:16 UTC,2015-02-23 22:48:16 UTC
130,Patatin-like phospholipase domain-containing protein 3,PNPLA3,,,,,,,,,,,,,,,Q9NST1,,,,,,,,,,,,,2015-02-23 22:48:16 UTC,2015-02-23 22:48:16 UTC
131,Gastric triacylglycerol lipase,LIPF,,,,,,,,,,,,,,,P07098,,,,,,,,,,,,,2015-02-23 22:48:16 UTC,2015-02-23 22:48:16 UTC
132,Endothelial lipase,LIPG,,,,,,,,,,,,,,,Q9Y5X9,,,,,,,,,,,,,2015-02-23 22:48:16 UTC,2015-02-23 22:48:16 UTC
133,Diacylglycerol O-acyltransferase 1,DGAT1,,,,,,,,,,,,,,,O75907,,,,,,,,,,,,,2015-02-23 22:48:16 UTC,2015-02-23 22:48:16 UTC
134,Pancreatic lipase-related protein 2,PNLIPRP2,,,,,,,,,,,,,,,P54317,,,,,,,,,,,,,2015-02-23 22:48:16 UTC,2015-02-23 22:48:16 UTC
135,Lipoprotein lipase,LPL,,,,,,,,,,,,,,,P06858,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
136,Monoglyceride lipase,MGLL,,,,,,,,,,,,,,,Q99685,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
137,Apolipoprotein A-I,APOA1,,,,,,,,,,,,,,,P02647,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
138,Apolipoprotein E,APOE,,,,,,,,,,,,,,,P02649,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
139,Apolipoprotein B-100,APOB,,,,,,,,,,,,,,,P04114,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
140,Protein disulfide-isomerase,P4HB,,,,,,,,,,,,,,,P07237,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
141,2-acylglycerol O-acyltransferase 2,MOGAT2,,,,,,,,,,,,,,,Q3SYC2,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
142,Patatin-like phospholipase domain-containing protein 4,PNPLA4,,,,,,,,,,,,,,,P41247,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
143,Diacylglycerol O-acyltransferase 2,DGAT2,,,,,,,,,,,,,,,Q96PD7,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
144,2-acylglycerol O-acyltransferase 1,MOGAT1,,,,,,,,,,,,,,,Q96PD6,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
145,2-acylglycerol O-acyltransferase 3,MOGAT3,,,,,,,,,,,,,,,Q86VF5,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
146,Glycerol-3-phosphate acyltransferase 3,AGPAT9,,,,,,,,,,,,,,,Q53EU6,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
147,Patatin-like phospholipase domain-containing protein 2,PNPLA2,,,,,,,,,,,,,,,Q96AD5,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
148,Pancreatic lipase-related protein 3,PNLIPRP3,,,,,,,,,,,,,,,Q17RR3,,,,,,,,,,,,,2015-02-23 22:48:17 UTC,2015-02-23 22:48:17 UTC
149,Choline O-acetyltransferase,CHAT,,,,,,,,,,,,,,,P28329,,,,,,,,,,,,,2015-02-23 22:48:27 UTC,2015-02-23 22:48:27 UTC
150,Phospholipase D2,PLD2,,,,,,,,,,,,,,,O14939,,,,,,,,,,,,,2015-02-23 22:48:27 UTC,2015-02-23 22:48:27 UTC
