id,term,definition,external_id,external_source,comment,curator,parent_id,level,created_at,updated_at,legacy_id
7671,Role,"The purpose or function assumed by a chemical, either naturally or as intended by humans .",,,,,,1,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7672,Biological role,"The biological function of a chemical.  the biological role answers the question how a chemical is involved in molecular processes in an organism. this can include biochemical effects of non-endogenous chemicals, which are also assigned an industrial application such as pharmaceuticals. the biological role is limited to cellular levls, and will not include role at system process level, such as a chemical which has a role in a disease.",,,,,7671,2,2018-02-26 21:06:16 UTC,2018-04-06 00:43:13 UTC,
7673,Modulator, a chemical substance that  inhibits or activates a biological or chemical entity or process.,,,,,7672,3,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7674,Enzyme inhibitor,Substances that  inhibit  the catalytic activity  of enzymes.,,EPA,,Yannick,7678,3,2018-02-26 21:06:16 UTC,2018-02-26 21:07:00 UTC,
7675,Inhibitor,,,,,,7673,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7676,Membrane transport modulator,,,,,,7673,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7677,Molecular messenger, a chemical substance that is involved in transmission of biochemical signals.,,,,,7672,3,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7678,Industrial application,The assumed function of a chemical utilized by human.,,,,,7671,2,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7679,Pharmaceutical industry,A pharmacologic activity for which a chemical substance is utilized owing to its biological role.,,,,,7678,3,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7680,Neuromuscular agent,,,,,,7679,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7681,Antimicrobial agent,"A chemical substance used to destroy or control uwanted microorganisms such as fungi, bacteria and algae.",CHEBI:33281,,,Yannick,7690,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:56 UTC,
7682,Antineoplastic agent,,,,,,7679,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7683,Cardiovascular drug,,,,,,7679,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7684,Hormone modulator,,,,,,7679,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7685,Agriculture,An agriculture-related purpose for which a chemical substance is utilized.,,,,,7678,3,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7686,Pesticide,"A chemical substance or preparation used to kill or control pests, such as insects, weeds, plant pathogens, rodents, etc.",,EPA,,Yannick,7690,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:55 UTC,
7687,Food and nutrition,A chemical purpose related to manufacturing of food and nutrition products.,,,,,7678,3,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7688,Personal care products,Cosmetics and personal hygene products in which a chemical was incorportaed during  the manufacturing process.,,,,,7678,3,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7689,Construction industry,"A compnent utilized by the building and infrastructure inductry, which incorporates a chemical substance. .",,,,,7678,3,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7690,Household products,"A product used in the home environment, which includes a chemical substance.",,,,,7678,3,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7691,Indirect biological role,"An indirect function of a chemical which affect the physiological state of any organism (apart from the source organism, if of biological source).",,,,,7671,2,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7692,Environmental role,A direct or indirect function of chemical product or process which affect the components of the environment.,,,,,7671,2,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7693,Physiological effect,"The effect on an organism physiology, resulting from its exposure to a chemical.",,,,,,1,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7694,Health effect,A health condition or observation associated with a stimuli or with a biological activity of a chemical.,,,,,7693,2,2018-02-26 21:06:16 UTC,2018-04-06 00:45:17 UTC,
7695,Health condition,"A health effect that consists on short or long-term disease, condition, disorder, syndrome or constant abnormality.",,,,,7694,3,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7696,Cancer,A group of disorders characterized by the presense of malignant neoplasm.,,,,,7695,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7697,Hepatobiliary disorders,Any disorder (non-neoplastic or neoplastic) that affects the liver and the biliary system.,,,,,7695,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7698,Cardiac disorders,Any disorder that affects the heart.,,,,,7695,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7699,Psychiatric disorders,"A group of disorders characterized by behavioral and/or psychological abnormalities, often accompanied by physical symptoms. the symptoms may cause clinically significant distress or impairment in social and occupational areas of functioning. representative examples include anxiety disorders, cognitive disorders, mood disorders and schizophrenia. (nci).",,,,,7695,4,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7700,Gastrointestinal disorders,Any disorder (non-neoplastic or neoplastic) that affects the gastrointestinal tract.,,,,,7695,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7701,Vascular disorders,Any disorder that affects the blood vessels.,,,,,7695,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7702,"Injury, poisoning and procedural complications",Any damage inflicted on the body.,,,,,7695,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7703,Nervous system disorders,"Any disorder (non-neoplastic or neoplastic) that affects the brain, spinal cord, or peripheral nerves.",,,,,7695,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7704,Endocrine disorders,"Any disorder that affects the endocrine system. it can be neoplastic (carcinoid tumor, neuroendocrine carcinoma, and pheochromocytoma) or non-neoplastic (such as diabetes mellitus, hyperthyroidism, and adrenal gland insufficiency).",,,,,7695,4,2018-02-26 21:06:17 UTC,2018-04-06 00:43:14 UTC,
7705,"Respiratory, thoracic and mediastinal disorders",Any disorder (non-neoplastic or neoplastic)  that affects the respiratory system or the thorax including the mediastinum and the heart. (nci).,,,,,7695,4,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7706,Reproductive system and breast disorders,"Any disorder (non-neoplastic or neoplastic) that affects the male or female genital system. representative examples of non-neoplastic disorders include infection, testicular torsion, endometriosis, and adenomyosis. representative examples of neoplastic disorders include germ cell tumors, carcinoma, lymphoma, and sarcoma. (nci).",,,,,7695,4,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7707,Blood and lymphatic system disorders,"Any deviation from the normal structure or function of the hematopoietic or lymphoid system, that is manifested by a characteristic set of symptoms and signs. (nci).",,,,,7695,4,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7708,Metabolism and nutrition disorders,"A group of disorders, inherited or not, that result in a metabolic malfunction.",,,,,7695,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7709,Musculoskeletal and connective tissue disorders,"Any disorder (non-neoplastic or neoplastic) that affects muscles, bones and other connective tissue.",,,,,7695,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7710,Ear and labyrinth disorders,Any disorder that affects the ear or the labyrinth.,,,,,7695,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7711,General disorders and administration site conditions,Any disorder that was not classified under a specific system.,,,,,7695,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7712,Eye disorders,"Any disorder that affects the eye. it can be neoplastic or non-neoplastic, such as conjunctivitis, glaucoma, cataract, conjunctival squamous cell carcinoma, uveal melanoma, and retinoblastoma.",,,,,7695,4,2018-02-26 21:06:17 UTC,2018-04-06 00:43:14 UTC,
7713,Infections and infestations,"Any  disorder resulting from the presence and activity of a microbial, viral, or parasitic agent. it can be transmitted by direct or indirect contact. (nci).",,,,,7695,4,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7714,Renal and urinary disorders,Any disorder that affects the kidneys and the urologic system.,,,,,7695,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7715,Skin and subcutaneous tissue disorders,Any deviation from the normal structure or function of the skin or subcutaneous tissue that is manifested by a characteristic set of symptoms and signs. (nci).,,,,,7695,4,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7716,Immune system disorders,"A group of disorders (non-neoplastic or neoplastic) that result  from the deregulation and/or deficiency of immune system functions. it includes autoimmune disorders (e.g., lupus erythematosus, dermatomyositis, rheumatoid arthritis), congenital and acquired immunodeficiency syndromes including the acquired immune deficiency syndrome (aids), and neoplasms (e.g., lymphomas and malignancies secondary to transplantation). (nci).",,,,,7695,4,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7717,Observation,A short term health effect which reflects the reponse of the body to stimuli or is a symptom of a disease or condition; also includes health status which reflects stage in life.,,,,,7694,3,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7718,Investigations,"The act or process of a systematic and thorough examination; research, study; the process of inquiring into or following up, intended to develop facts. (nci).",,,,,7717,4,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7719,Organoleptic effect,Human sensual perception of chemical stimuli.,,,,,7693,2,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7720,Odor,Sensual perception of volatile chemicals reacting with the human olfactory system.,,,,,7719,3,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7721,Taste,Sensual perception of chemicals reacting with the human oral taste sensors.,,,,,7719,3,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7722,Apperance,Sensual perception of obtained by the human visual sensors.,,,,,7719,3,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7723,Touch,Sensual perception obtained by the human somatosensory system.,,,,,7719,3,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7724,Disposition,"A concept that describes the origin of a chemical, its location within an organism, or its route of exposure.",,,,,,1,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7725,Biological location,"The physiological origin within an organism, including anatomical compnents, biofluids and excreta.",,,,,7724,2,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7726,System,"An anatomical organizational level comprising of multiple organs and substructure, which serve a complete biological function.",,,,,7725,3,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7727,Organ and components,"An anatomical organizational level including multiple tissues or substructures, which enables a common biological function.",,,,,7725,3,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7728,Endocrine gland,,,,,,7727,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7729,Tissue and substructures,An anatomical organizational level including multiple cells yet not comprising a complete organ .,,,,,7725,3,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7730,Subcellular,An anatomical organizational level including a component within a biological cell .,,,,,7725,3,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7731,Biofluid and excreta,"A liquid, semi-solid or solid material originating in the body.",,,,,7725,3,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7732,Cell and elements,"An anatomical organizational level comprising of a single cell (or a fragment in some exceptions). a cell is defined by its type or function. it is the smallest unit of living structure capable of independent existence, composed of a membrane-enclosed mass of protoplasm and containing a nucleus or nucleoid.",,,,,7725,3,2018-02-26 21:06:17 UTC,2018-04-06 00:43:14 UTC,
7733,Element,,,,,,7732,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7734,Cell,,,,,,7732,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7735,Source,Natural or synthetic origin of a chemical.,,,,,7724,2,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7736,Biological,"A living organism (species or a higher taxonomy rank), in which a chemical can be found.",,,,,7735,3,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7737,Animal,"A living organism belonging to the kingdom animalia. it feeds on organic matter, typically having specialized sense organs and nervous system and able to respond rapidly to stimuli.",,,,,7736,4,2018-02-26 21:06:17 UTC,2018-04-06 00:43:14 UTC,
7738,Plant,"A living organism belonging to the kingdom plantea. typically, it grows in a permanent site, absorbs water and inorganic substances through its roots, and synthesizes nutrients in its leaves by photosynthesis using the green pigment chlorophyll. examples incude trees, shrubs, herbs, grasses, ferns, and mosses.",,,,,7736,4,2018-02-26 21:06:17 UTC,2018-04-06 00:43:14 UTC,
7739,Microbe,"A living organism that is of a microscopic scale, either single-celled or a cluster of cells.",,,,,7736,4,2018-02-26 21:06:17 UTC,2018-02-26 21:06:17 UTC,
7740,Fungi,Living eukaryotic organisms belonging to the kingdom fungi. they include mushrooms as well as microbes such as yeast and mold.,,,,,7736,4,2018-02-26 21:06:17 UTC,2018-04-06 00:43:14 UTC,
7741,Environmental,An environmentally-sourced sample in which a chemical can be found.,,,,,7735,3,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7742,Synthetic,A man-made product or sample in which a chemical can be found.,,,,,7735,3,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7743,Route of exposure,"A mean by which a chemical agent comes in contact with an organism, either under intended or unintended circumstances.",,,,,7724,2,2018-02-26 21:06:17 UTC,2018-04-06 00:45:17 UTC,
7744,Enteral,Chemical exposure via the alimentary canal (mouth to anus).,,,,,7743,3,2018-02-26 21:06:18 UTC,2018-04-06 00:45:17 UTC,
7745,Parenteral,Chemical exposure via the a route other than the alimentary canal.,,,,,7743,3,2018-02-26 21:06:18 UTC,2018-04-06 00:45:17 UTC,
7746,Ingestion,Chemical exposure facilitated by entry through the mouth.,,Lewis' Dictionary of Toxicology by Robert Alan Lewis; p. 490,,Yannick,7744,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:17 UTC,
7747,Oral mucosa,Chemical exposure by absorption through the lining of the mouth.,,,,Yannick,7744,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:17 UTC,
7748,Rectal,Chemical exposure by absorption through the walls of the rectum.,,Lewis' Dictionary of Toxicology by Robert Alan Lewis; p. 490,,Yannick,7744,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:17 UTC,
7749,Gastrointestinal,Chemical exposure by absorption through the stomach and intestines.,,Lewis' Dictionary of Toxicology by Robert Alan Lewis; p. 490,,Yannick,7744,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:17 UTC,
7750,Sublingual,Chemical exposure by absorption through blood vessels under the tongue.,,,,Yannick,7744,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:17 UTC,
7751,Inhalation,"Chemical exposure facilitated by breathing in, followed by absorption via the lungs. this is the major route of terresitral organisms to aerosols, vapors, gases, and volatile particulates.",,Lewis' Dictionary of Toxicology by Robert Alan Lewis; p. 490,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-04-06 00:43:14 UTC,
7752,Dermal,Chemical exposure by contact with the dermis or a cuticle or cornified region of the epidermis.,,Lewis' Dictionary of Toxicology by Robert Alan Lewis; p. 490,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7753,Intradermal,Chemical exposure via direct introduction into or through the skin.,,Wikipedia,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:18 UTC,
7754,Intraarterial,Chemical exposure via direct introduction into the circulatory system via the artery.,,Wikipedia,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7755,Intraosseous,Chemical exposure via direct introduction into the bone marrow.,,Wikipedia,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:18 UTC,
7756,Intracerebral,Chemical exposure via direct introduction into the brain parenchyma.,,Wikipedia,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:18 UTC,
7757,Intracerebroventricular,Chemical exposure via direct introduction into the cerebral ventricular system.,,Wikipedia,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:18 UTC,
7758,Intrathecal,Chemical exposure via direct introduction into the spinal canal.,,,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:18 UTC,
7759,Vaginal,Chemical exposure by contact with the walls of the vagina.,,Lewis' Dictionary of Toxicology by Robert Alan Lewis; p. 490,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:18 UTC,
7760,Ocular,Chemical exposure by contact with the exposed surface oft the eye.,,Lewis' Dictionary of Toxicology by Robert Alan Lewis; p. 490,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:18 UTC,
7761,Intraocular,Chemical exposure via direct injection into the eye.,,,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:18 UTC,
7762,Intravesical,Chemical exposure via direct introduction into the circulatory system.,,,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7763,Intravenous,Chemical exposure via direct introduction into the circulatory system a the vein.,,Lewis' Dictionary of Toxicology by Robert Alan Lewis; p. 490,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7764,Intramuscular,Chemical exposure via direct administration into a skeletal muscle.,,Lewis' Dictionary of Toxicology by Robert Alan Lewis; p. 490,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:18 UTC,
7765,Intraperitoneal,Chemical exposure via infusion or injection through the peritoneum.,,Wikipedia,,Yannick,7745,4,2018-02-26 21:06:26 UTC,2018-04-06 00:45:18 UTC,
7766,Human,,,,,Naama,7737,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7767,Mouse,,,,,Naama,7737,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7768,Rat,,,,,Naama,7737,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7769,Shellfish,,,,,Naama,7737,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7770,Squid,,,,,Naama,7737,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7771,Cucurbitaceae,,,,,Naama,7738,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7772,Coffea,,,,,Naama,7738,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7773,Theobroma cacao,,,,,Naama,7738,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7774,Poaceae,,,,,Naama,7738,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7775,Fabaceae,,,,,Naama,7738,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7776,Glycine max,,,,,Naama,7738,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7777,Human gut microbiota,,,,,Naama,7739,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7778,E.coli,,,,,Naama,7739,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7779,Cyanobacteria,,,,,Naama,7739,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7780,Aspergillus,,,,,Naama,7740,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7781,Penicillium,,,,,Naama,7740,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7782,Paecilomyces,,,,,Naama,7740,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7783,Fusarium,,,,,Naama,7740,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7784,Yeast,,,,,Naama,7740,5,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7785,Saccharomyces cerevisiae,,,,,Naama,7736,4,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7786,Soil,"A mix of matter covering the surface of the earth. Its solids consist of minerals and organis matter, and voids between matter grains consist of water and gas.   ",,,,Naama,7741,4,2018-02-26 21:06:26 UTC,2018-04-07 00:25:30 UTC,
7787,Dust,"A mix of fine particles of matter that can be air-borne.В It can originate in any fragments of matter in the environment, incuding soil, volcanic eruptions, pollution, fibers, organic matter from organisms and other sources.",,,,Naama,7741,4,2018-02-26 21:06:26 UTC,2018-04-07 00:25:30 UTC,
7788,Water,,,,,Naama,7741,4,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7789,River water,,,,,Naama,7741,4,2018-02-26 21:06:26 UTC,2018-02-26 21:06:26 UTC,
7790,Sea water,,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7791,Lake water,,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7792,Fresh water,,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7793,Air,,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7794,Space,,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7795,Wastewater,"Liquid wastes from communities, which may be a mixture of domestic effluent from homes and liquid waste from industry. (epa).",,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-04-06 00:45:18 UTC,
7796,Surface water,"Water that is collected on the ground or in a stream, river, lake, wetland or ocean. (epa).",,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-04-06 00:45:18 UTC,
7797,Groundwater,Water that collects or flows underground in the small spaces in soil and rock. it might be a source of water for springs and wells and then used for drinking water. (epa).,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-04-06 00:45:18 UTC,
7798,Reservoir water,,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7799,Rainwater,,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7800,Rock,,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7801,Sludge,,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7802,Smoke,,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7803,Tobacco smoke,,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7804,Personal care product,,,,,Naama,7742,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7805,Pharmaceutical,,,,,old ontology,7679,4,2018-02-26 21:06:27 UTC,2018-02-26 21:07:04 UTC,
7806,Food,,,,under root,Naama,7735,3,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7807,Combustion byproduct,,,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7808,Household waste,"Waste that contains paper, cardboard, textiles (for example fabric or carpet), timber, food, garden clippings, glass, plastic and other manufactured materials. (epa).",,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-04-06 00:45:18 UTC,
7809,Landfill,"A site that is specially designed to dispose of waste and operates with a licence granted by the environmental protection agency (epa). the epa reviews licences and, with local authorities, monitors landfills around the country for emissions.",,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-04-06 00:43:14 UTC,
7810,Mulch,"Leaves, straw or compost used to cover growing plants to protect them from the wind or cold. (epa).",,,,Naama,7741,4,2018-02-26 21:06:27 UTC,2018-04-06 00:45:18 UTC,
7811,Endogenous,,,,under root,Naama,7735,3,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7812,Exogenous,A chemical substance that is introduced to an organism and does not originate from within theВ organism itself.,,,,Naama,7735,3,2018-02-26 21:06:27 UTC,2018-02-26 21:07:24 UTC,
7813,Lymph,"A clear, transparent, sometimes faintly yellow and slightly opalescent fluid that is collected from the tissues throughout the body, flows in the lymphatic vessels (through the lymph nodes), and is eventually added to the venous blood circulation. lymph consists of a clear liquid portion, varying numbers of white blood cells (chiefly lymphocytes), and a few red blood cells. (nci).",C13252,NCI Thesaurus,,Yannick,7731,4,2018-02-26 21:06:27 UTC,2018-04-06 00:45:18 UTC,
7814,Blood,"A liquid tissue with the primary function of transporting oxygen and carbon dioxide (nci). it supplies the tissues with nutrients, removes waste products, and contains various components of the immune system defending the body against infection.",,"Foundational Model of Anatomy (FMA), Rosse, C., Mejino, J.L., Jr.: A reference ontology for biomedical informatics: the Foundational Model of Anatomy. J Biomed Inform 36, 478-500 (2003)",definition coppied from FMA,Yannick,7731,4,2018-02-26 21:06:27 UTC,2018-04-06 00:43:15 UTC,
7815,Esophageal secretion,"A secretion of the esophageal submucosal glands, contains bicarbonate and mucin and helps balancing the ph and protect the esophagus from acidic gastric reflux.",,"Ai, Jiye, et al. ""Towards a Body Fluids Ontology: A Unified Application Ontology for Basic and Translational Science.""В ICBO. 2011.",,Naama,7731,4,2018-02-26 21:06:27 UTC,2018-04-06 00:45:18 UTC,
7816,Cerumen,A soft yellow wax secreted by glands in the ear canal. (nci).,C32293,NCI Thesaurus,,Naama,7731,4,2018-02-26 21:06:27 UTC,2018-04-06 00:45:18 UTC,
7817,Sebum,"A thick, oily substance produced by the sebaceous glands located in the dermis.",C13276,NCI Thesaurus,,Naama,7731,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
7818,Synovial fluid,"A viscid fluid secreted by the synovial membrane, serving as a lubricant.",C33718,NCI Thesaurus,,Naama,7731,4,2018-02-26 21:06:27 UTC,2018-02-26 21:06:27 UTC,
